nohup: ignoring input
Creating Random Inputs
Starting simulations for sample size: 1000
Simulating:  11%|█         | 112/1000 [1:53:28<15:03:16, 61.03s/it]Run 113/1000: keff=1.05563 ± 0.00078 | CR=91/248 | Run Time=61.33433675765991
Simulating:  11%|█▏        | 113/1000 [1:54:30<15:03:36, 61.12s/it]Run 114/1000: keff=0.94982 ± 0.00077 | CR=67/248 | Run Time=58.06646418571472
Simulating:  11%|█▏        | 114/1000 [1:55:28<14:49:02, 60.21s/it]Run 115/1000: keff=1.03307 ± 0.00071 | CR=145/248 | Run Time=59.30127716064453
Simulating:  12%|█▏        | 115/1000 [1:56:27<14:44:02, 59.94s/it]Run 116/1000: keff=1.12503 ± 0.00083 | CR=227/248 | Run Time=63.216071128845215
Simulating:  12%|█▏        | 116/1000 [1:57:30<14:57:32, 60.92s/it]Run 117/1000: keff=1.16394 ± 0.00068 | CR=154/248 | Run Time=59.85015368461609
Simulating:  12%|█▏        | 117/1000 [1:58:30<14:51:48, 60.60s/it]Run 118/1000: keff=1.11406 ± 0.00082 | CR=209/248 | Run Time=59.82987189292908
Simulating:  12%|█▏        | 118/1000 [1:59:30<14:47:24, 60.37s/it]Run 119/1000: keff=1.07804 ± 0.00069 | CR=229/248 | Run Time=63.49551057815552
Simulating:  12%|█▏        | 119/1000 [2:00:33<15:00:11, 61.31s/it]Run 120/1000: keff=0.90317 ± 0.00073 | CR=23/248 | Run Time=59.57566285133362
Simulating:  12%|█▏        | 120/1000 [2:01:33<14:51:32, 60.79s/it]Run 121/1000: keff=0.93668 ± 0.00082 | CR=4/248 | Run Time=60.63933086395264
Simulating:  12%|█▏        | 121/1000 [2:02:34<14:49:53, 60.74s/it]Run 122/1000: keff=1.07081 ± 0.00078 | CR=78/248 | Run Time=64.32401251792908
Simulating:  12%|█▏        | 122/1000 [2:03:38<15:04:35, 61.82s/it]Run 123/1000: keff=1.10999 ± 0.00082 | CR=100/248 | Run Time=62.7492311000824
Simulating:  12%|█▏        | 123/1000 [2:04:41<15:07:39, 62.10s/it]Run 124/1000: keff=1.09493 ± 0.00077 | CR=116/248 | Run Time=60.18600034713745
Simulating:  12%|█▏        | 124/1000 [2:05:41<14:58:15, 61.52s/it]Run 125/1000: keff=0.93583 ± 0.00076 | CR=5/248 | Run Time=60.14746403694153
Simulating:  12%|█▎        | 125/1000 [2:06:41<14:51:12, 61.11s/it]Run 126/1000: keff=1.12571 ± 0.00082 | CR=105/248 | Run Time=63.52249360084534
Simulating:  13%|█▎        | 126/1000 [2:07:44<15:00:43, 61.83s/it]Run 127/1000: keff=0.96510 ± 0.00076 | CR=28/248 | Run Time=59.727179288864136
Simulating:  13%|█▎        | 127/1000 [2:08:44<14:50:29, 61.20s/it]Run 128/1000: keff=0.95781 ± 0.00080 | CR=20/248 | Run Time=63.32101011276245
Simulating:  13%|█▎        | 128/1000 [2:09:48<14:58:42, 61.84s/it]Run 129/1000: keff=1.02365 ± 0.00081 | CR=170/248 | Run Time=58.28684997558594
Simulating:  13%|█▎        | 129/1000 [2:10:46<14:42:13, 60.77s/it]Run 130/1000: keff=1.04498 ± 0.00075 | CR=185/248 | Run Time=62.27517795562744
